Title,Artist,ArtistBio,Nationality,Continent,BeginDate,EndDate,Gender,DateProduced,Medium,DateAcquired,YearAcquired,AgeAtAcquisition,ObjectID,height,width,area,RevURL,ThumbnailURL
"Rope and People, I",Joan Miro,Spanish,Spanish,Europe,1893,1983,Male,1935,"Oil on cardboard mounted on wood, with coil of rope",1936-10-16,1936,1,33621,104.8,74.6,7818.08,http://www.moma.org/collection/works/33621,http://www.moma.org/media/W1siZiIsIjE2MDU0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bda8976e9be36136
Fire in the Evening,Paul Klee,German,German,Europe,1879,1940,Male,1929,Oil on cardboard,1970-04-08,1970,41,34854,33.8,33.3,1125.54,http://www.moma.org/collection/works/34854,http://www.moma.org/media/W1siZiIsIjE3Njc2NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=0c57b375807d1f87
Portrait of an Equilibrist,Paul Klee,German,German,Europe,1879,1940,Male,1927,Oil and collage on cardboard over wood with painted plaster border,1966-04-12,1966,39,35209,60.3,36.8,2219.04,http://www.moma.org/collection/works/35209,http://www.moma.org/media/W1siZiIsIjE3OTI4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=580fa5bb76eff44f
Guitar,Pablo Picasso,Spanish,Spanish,Europe,1881,1973,Male,1919,"Oil, charcoal and pinned paper on canvas",1955-12-28,1955,36,36613,215.9,78.7,16991.33,http://www.moma.org/collection/works/36613,http://www.moma.org/media/W1siZiIsIjE1MDQ2MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=17d34f53cc1e6fa3
Grandmother,Arthur Dove,American,American,North America,1880,1946,Male,1925,"Shingles, needlepoint, page from Concordance, pressed flowers and ferns mounted on cloth-covered wood",1939-12-08,1939,14,37674,50.8,54,2743.2,http://www.moma.org/collection/works/37674,http://www.moma.org/media/W1siZiIsIjI0NzA5NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=093d454bd551973d
"""M'Amenez-y""",Francis Picabia,French,French,Europe,1879,1953,Male,1920,Oil and enamel paint on cardboard,1968-10-08,1968,48,38561,129.2,89.9,11615.08,http://www.moma.org/collection/works/38561,http://www.moma.org/media/W1siZiIsIjMzNjY1MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f29d885c0b373bbd
Untitled,Blinky Palermo,German,German,Europe,1943,1977,Male,1970,Dyed cotton mounted on muslin,1997-06-02,1997,27,78283,200,200,40000,http://www.moma.org/collection/works/78283,http://www.moma.org/media/W1siZiIsIjE1MTQ0MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=183105a88622f704
Daylight Savings Time,Pierre Roy,French,French,Europe,1880,1950,Male,1929,Oil on canvas,1931-01-19,1931,2,78294,54.6,38.1,2080.26,http://www.moma.org/collection/works/78294,http://www.moma.org/media/W1siZiIsIjIzMzkzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=96820bf47e072d6c
The Bather,Paul Cezanne,French,French,Europe,1839,1906,Male,1885,Oil on canvas,1934-09-23,1934,49,78296,127,96.8,12293.6,http://www.moma.org/collection/works/78296,http://www.moma.org/media/W1siZiIsIjE1MTA5OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d82c8c078cb11fcb
Syntheses of Naples,Enrico Prampolini,Italian,Italian,Europe,1894,1956,Male,1930,Oil on canvas,1941-12-10,1941,11,78299,100,100.3,10030,http://www.moma.org/collection/works/78299,http://www.moma.org/media/W1siZiIsIjE4NjgzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=bccf9bc277ee280e
Two Rabbis,Jankel Adler,Polish,Polish,Europe,1895,1949,Male,1942,Oil on canvas,1949-02-03,1949,7,78301,86,112.1,9640.6,http://www.moma.org/collection/works/78301,http://www.moma.org/media/W1siZiIsIjE2MTM0OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=4cde4921780ac1fc
The Flame and the Diver,Jean Bazaine,French,French,Europe,1904,2001,Male,1953,Oil on canvas,1957-02-27,1957,4,78303,194.9,129.5,25239.55,http://www.moma.org/collection/works/78303,http://www.moma.org
Girl Wading,Elmer Bischoff,American,American,North America,1916,1991,Male,1959,Oil on canvas,1960-02-10,1960,1,78305,209.8,172,36085.6,http://www.moma.org/collection/works/78305,http://www.moma.org/media/W1siZiIsIjIwNzk3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=eab3905720a78afc
"Painting, 4",Vasudeo S. Gaitonde,Indian,Indian,Asia,1924,2001,Male,1962,Oil on canvas,1963-01-08,1963,1,78306,101.6,126.6,12862.56,http://www.moma.org/collection/works/78306,http://www.moma.org/media/W1siZiIsIjE3MjEyNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d62271767526c97a
The Voice,Barnett Newman,American,American,North America,1905,1970,Male,1950,Egg tempera and enamel on canvas,1968-01-10,1968,18,78308,244.1,268,65418.8,http://www.moma.org/collection/works/78308,http://www.moma.org/media/W1siZiIsIjIwMjM3MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=67296c15ee0c9e2d
Plums on a Plate,Preston Dickinson,American,American,North America,1889,1930,Male,1926,Oil on canvas,1931-03-11,1931,5,78309,35.6,50.8,1808.48,http://www.moma.org/collection/works/78309,http://www.moma.org/media/W1siZiIsIjE2NjgyNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=384babfc95bc9b5c
"Composition in White, Black, and Red",Piet Mondrian,Dutch,Dutch,Europe,1872,1944,Male,1936,Oil on canvas,1937-01-15,1937,1,78310,102.2,104.1,10639.02,http://www.moma.org/collection/works/78310,http://www.moma.org/media/W1siZiIsIjI2NTc5NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=1c59ad71c8df221b
